Time,pt0_sigxx,pt0_sigyy,pt0_sigzz,pt0_sigxy,pt0_sigyz,pt0_sigxz,pt1_sigxx,pt1_sigyy,pt1_sigzz,pt1_sigxy,pt1_sigyz,pt1_sigxz,pt2_sigxx,pt2_sigyy,pt2_sigzz,pt2_sigxy,pt2_sigyz,pt2_sigxz,pt3_sigxx,pt3_sigyy,pt3_sigzz,pt3_sigxy,pt3_sigyz,pt3_sigxz,pt4_sigxx,pt4_sigyy,pt4_sigzz,pt4_sigxy,pt4_sigyz,pt4_sigxz
210.0,-3262225.029868561,-6780660.1257271515,-3781122.5343533885,-1500680.0043042966,0.5480825297453636,-0.422685754240128,-5500049.1949195145,-6500176.595195781,-2799856.301308015,-76.56586858217199,-0.36059723834454616,1.4692444891271066,-5499845.743541296,-6499818.616246511,-2800243.6452587144,10.886588121601845,0.017893802303502782,0.008226065419621292,-5999846.318418468,-7000180.772369365,-3299906.4893195964,-164.28755439527603,0.012887109748424882,-0.007023420627992304,-5999841.883750787,-7000182.030681337,-3299905.2211029218,-163.28980892957452,0.00661762713340838,-0.007199099533228662
212.5,-3261964.73580415,-6780690.987495748,-3781236.9413661486,-1500853.4700274104,0.5467264021733432,-0.4216434467037474,-5500037.689817607,-6500179.400213155,-2799860.7498765485,-85.11872868974541,-0.35329917821353973,1.4357009452927372,-5499845.812788975,-6499818.276221562,-2800243.9083291437,11.117888641290618,0.017926292106451247,0.008232897074975674,-5999846.088413052,-7000181.047828584,-3299906.3512824234,-164.52797522425914,0.012906485334410026,-0.007034235394445072,-5999841.647196083,-7000182.307904412,-3299905.0811481876,-163.5284985228995,0.006627109233647273,-0.007209860718195307
213.0,-3134143.4266513847,-6796711.920605609,-3837269.0961447493,-1586567.5058397406,0.5823118355977626,-0.44850369098002624,-5500084.817743404,-6500178.937979921,-2799834.8389983233,-56.70579004305296,-0.39951869892018976,1.6356385853465127,-5499837.324887405,-6499809.221244449,-2800256.595719966,11.208347536872406,0.01695566001907719,0.007506324355989039,-5999838.208482701,-7000190.297530193,-3299901.5498324824,-172.9723907253245,0.013566655573826475,-0.00739311462965729,-5999833.539494998,-7000191.622601115,-3299900.2147157085,-171.92267963819816,0.006967919513456358,-0.007578971451244564
213.5,-3005320.4468596065,-6812879.391893054,-3893747.986443407,-1672964.268805572,0.6184242641343279,-0.47641473349172414,-5500132.753145071,-6500178.48623561,-2799808.4738655286,-27.817095685439057,-0.44657229101576945,1.8393840323233093,-5499828.661761694,-6499799.985080052,-2800269.535301034,11.29719566276271,0.01612524779874365,0.006844303405445625,-5999830.174234929,-7000199.728813518,-3299896.654505279,-181.5817097267367,0.014239769001793978,-0.007759051117603591,-5999825.273023668,-7000201.120143288,-3299895.253131924,-180.48076020329523,0.007315370027699815,-0.007955311427734946
215.0,-3004297.8503648806,-6813023.421467015,-3894202.8382716454,-1673658.1861770616,0.6179505501522017,-0.4765824945132322,-5500125.30670421,-6500180.454881338,-2799811.2524874853,-33.445094982228625,-0.4421693245996181,1.8195068042319917,-5499828.494943902,-6499799.582853613,-2800269.9540353226,11.423195688243132,0.017054312925759194,0.007305881304508429,-5999829.878103146,-7000200.080776369,-3299896.4756895527,-181.89428734435037,0.014264680531123996,-0.007772810531928437,-5999824.968415738,-7000201.474440552,-3299895.0718607767,-180.7912389829065,0.007327819545830903,-0.007969177885627763
220.0,-3003640.377009552,-6813101.170794554,-3894492.0316557568,-1674096.1499471057,0.6148908992081664,-0.47422760870594344,-5500098.213197968,-6500187.008342718,-2799821.7668981194,-53.5562040599666,-0.4250943327728862,1.7422957256960103,-5499828.447827983,-6499798.73805497,-2800270.651897066,11.86494931736443,0.01940999813591763,0.008552753404484354,-5999829.313335453,-7000200.757090872,-3299896.1365933497,-182.48482690313358,0.014312296929549342,-0.007799369070510751,-5999824.38758097,-7000202.155077008,-3299894.728065864,-181.37752747870087,0.007351135163697103,-0.00799561287461337
230.0,-3002415.856241848,-6813246.188961207,-3895030.413131801,-1674912.0321103933,0.6088647106354235,-0.4695928489127147,-5500047.111633037,-6500199.437575319,-2799841.4527173406,-91.53011586721288,-0.39231172125068525,1.5934775410795936,-5499828.5731584355,-6499797.144518021,-2800271.9130705055,12.827509570227893,0.02166226708530848,0.009853475920298066,-5999828.245331351,-7000202.036092255,-3299895.495519151,-183.6013514916457,0.01440229396637458,-0.007849586870569879,-5999823.2891827375,-7000203.442255576,-3299894.078097898,-182.48601011853586,0.00739518903292926,-0.0080455889365316
240.0,-3001258.9644999686,-6813383.41401252,-3895538.8356657415,-1675683.0171590624,0.6029236316352408,-0.46502669913908173,-5499998.741144074,-6500211.25914511,-2799859.938830497,-127.51010404137716,-0.3606892153345811,1.449681281015458,-5499828.833680166,-6499795.619279516,-2800273.0759277665,13.834003819215635,0.022720974603140282,0.010508818312399783,-5999827.22384975,-7000203.259383523,-3299894.88251322,-184.669093898299,0.014488323223069505,-0.007897608093717012,-5999822.238623601,-7000204.673369138,-3299893.4565797024,-183.546058687287,0.007437293997886286,-0.008093374819328451
250.0,-3000159.674370255,-6813514.020075823,-3896021.721935544,-1676415.764992934,0.5970673513894493,-0.4605285149283653,-5499953.019893359,-6500222.486489205,-2799877.254181377,-161.55349319894373,-0.330156954178797,1.3108086668993906,-5499829.191449601,-6499794.149626277,-2800274.156388782,14.868576196512043,0.023171406379171595,0.010806390078409075,-5999826.242259798,-7000204.434884774,-3299894.293577631,-185.6950188727277,0.014570947205359704,-0.007943743927011769,-5999821.229085996,-7000205.856386943,-3299892.859459525,-184.56458811871747,0.007477727447621345,-0.008139282191631875
260.0,-2999110.221653493,-6813638.908570677,-3896482.504246102,-1677115.4304023408,0.5912954463144424,-0.45609763026323946,-5499909.867553854,-6500233.134034181,-2799893.429290165,-193.71711997671107,-0.30065834206433806,1.1767588183464426,-5499829.621987246,-6499792.726210664,-2800275.1661819457,15.921534257173123,0.023359079259465426,0.01093262547691646,-5999825.29538959,-7000205.56878153,-3299893.725593649,-186.68455338001473,0.014650603192567708,-0.007988237468908381,-5999820.25525237,-7000206.997533013,-3299892.283576572,-185.54698636855903,0.007516705107404958,-0.008183554118720402
