Time,pt0_sigxx,pt0_sigyy,pt0_sigzz,pt0_sigxy,pt0_sigyz,pt0_sigxz,pt1_sigxx,pt1_sigyy,pt1_sigzz,pt1_sigxy,pt1_sigyz,pt1_sigxz,pt2_sigxx,pt2_sigyy,pt2_sigzz,pt2_sigxy,pt2_sigyz,pt2_sigxz,pt3_sigxx,pt3_sigyy,pt3_sigzz,pt3_sigxy,pt3_sigyz,pt3_sigxz
157.0,-3154402.271216013,-6785397.174134351,-3830523.487045189,-1569399.291701754,-134.71304547958883,-355.72314912625336,-6107095.660310548,-7098859.139991572,-3360439.7989194887,39096.37984850943,-62.692044665830366,79.18338781299943,-6106820.743280707,-7098460.7237317525,-3360436.2592583387,38312.84537826375,-9.263538449450547,16.0176977445575,-3770129.038354332,-6716168.557473226,-3556994.29601022,-1159663.493438024,-6.245208898649632,21.153634704024793
157.25,-3078866.678979539,-6794357.609199642,-3863834.5419289763,-1619839.492176338,-142.1127192151274,-376.733811055543,-6113370.704254823,-7104773.672206568,-3363917.4962525517,41615.871297995924,-66.8774395800208,84.60065227237291,-6113058.87334942,-7104347.181905011,-3363909.2839810615,40776.87537571446,-9.938515109352963,17.153124784025398,-3741475.1425332874,-6719742.9325843975,-3569544.3790424,-1178865.8476838924,-6.942526037005365,23.261655595931174
157.5,-3001998.1991529875,-6803544.348272169,-3897697.9585336284,-1671198.1090001378,-148.80308841285688,-394.6872664982884,-6119308.532032223,-7110262.742236173,-3367244.1592723923,43889.06217100081,-70.53049356105925,89.33386654893718,-6118966.838507144,-7109812.422072185,-3367233.0864059534,43001.523970634844,-10.5267506051152,18.139897138524457,-3706514.6844687355,-6724106.495016832,-3584853.6575125344,-1202297.4032134719,-7.7853800403654025,25.75552374579149
160.0,-2980259.5378507953,-6807211.206449526,-3906709.093301886,-1686160.0325069104,-136.459728839617,-348.6025750598475,-6112973.80826447,-7102894.478787568,-3364083.649419805,39861.02005760117,-62.176847756384575,78.52076464963083,-6112739.856921608,-7102511.85950079,-3364097.545390668,39082.644558146276,-9.180495668990904,15.848342371854752,-3602470.012247617,-6737139.399118836,-3630356.010434769,-1272058.7450761108,-8.309167034756985,26.752854662647163
170.0,-2967021.6678237077,-6809444.512146746,-3912171.6154710907,-1695229.9618008095,-128.82688506166292,-327.1458443354129,-6107840.287689859,-7098111.888999531,-3361069.7828842932,37182.337368028806,-57.59232060486391,72.49706796012146,-6107667.818536231,-7097764.864006962,-3361096.5700807124,36467.552961844354,-8.423588339383736,14.590658599483465,-3534196.9025258,-6745764.309717749,-3660151.110648692,-1317793.9243621898,-6.691675955252658,22.04941810935638
180.0,-2961579.7263442376,-6810410.156815047,-3914390.3770454903,-1698957.2703247038,-125.18344564127125,-317.8686231530795,-6106099.78912925,-7096605.8192389235,-3360075.840529348,35986.80281964688,-55.57765478602373,69.85346955095028,-6105954.118983831,-7096274.629191309,-3360108.3698723186,35299.743710365365,-8.096242846578098,14.045771260577121,-3505260.6567197014,-6749452.325360044,-3672761.0074196286,-1337162.762991135,-5.945893403944408,19.85638537101329
190.0,-2957163.030155644,-6811188.4512095535,-3916200.089658874,-1701990.3841251978,-122.09333257137013,-310.08091347556024,-6104782.962053322,-7095423.414716096,-3359460.400770545,35018.39185303466,-53.90451294676589,67.66525882416477,-6104659.243087325,-7095105.714509297,-3359497.736294682,34354.266333316,-7.826396647673285,13.595124755444886,-3481874.939102346,-6752419.646473587,-3682965.345428228,-1352825.6135806662,-5.358031238894925,18.14371486306747
200.0,-2953289.3677058187,-6811864.582540984,-3917793.2866448164,-1704652.4029278802,-119.38982819600372,-303.1205045787673,-6103612.979412972,-7094351.231157762,-3358962.8046646775,34179.60997846711,-52.4451659703514,65.76253053666628,-6103508.2714953115,-7094045.475471519,-3359004.4525001124,33535.481841234454,-7.592437634113173,13.203010399838789,-3461713.7483567377,-6754970.546560383,-3691769.1904505994,-1366332.4279395123,-4.879378779140361,16.760891723680878
210.0,-2949997.6941302284,-6812429.4417516785,-3919149.3889615666,-1706915.2751882342,-117.1697136380389,-297.2163786671184,-6102520.0547937425,-7093290.728842024,-3358394.754973314,33510.30031654124,-51.24142865523535,64.19747531104085,-6102430.827305764,-7092994.996499525,-3358440.208937583,32882.74362700252,-7.400242105651538,12.879671174368319,-3445121.910872398,-6757063.98767064,-3699014.6602272573,-1377450.845994984,-4.504384837844988,15.71165601499532
212.5,-2949308.5597285414,-6812546.858806671,-3919433.526495304,-1707389.1065865848,-116.70725604235386,-295.98288990875824,-6102283.253467264,-7093056.0110823875,-3358264.2438549306,33374.01345028292,-50.99239979488638,63.8741334690866,-6102197.204326864,-7092762.360755548,-3358310.507814247,32749.886430205654,-7.3605780367222415,12.81279808009345,-3441696.9075314826,-6757495.545735459,-3700510.4142177007,-1379746.267289905,-4.4293139808255,15.505435954803689
213.0,-2818364.745932923,-6827779.485543049,-3977339.8891795552,-1794707.7502868418,-134.72397819427292,-349.85662097669865,-6113217.770483701,-7104243.748647578,-3364304.2972468063,38412.60151606577,-60.41604622926566,75.88359425712278,-6113044.211691749,-7103877.864059323,-3364331.3422317267,37667.602138396716,-8.785605740186284,15.271238796017123,-3401966.078524851,-6762447.36390191,-3717914.9901476647,-1406370.2086790847,-4.972853985190741,17.51211465735918
213.5,-2681635.873469551,-6844051.072416124,-4037610.815054299,-1886035.0515568235,-147.77376899315504,-386.38865541466123,-6123377.0477514155,-7113909.943204947,-3369992.905059091,42511.37502149593,-67.33921081833273,84.77123782658197,-6123146.026171505,-7113496.170529294,-3370011.1822672053,41675.75788364183,-9.867809619251558,17.11073728085162,-3339223.339030102,-6770277.08228425,-3745389.175419662,-1448424.2667586857,-6.092392008487838,20.918494067799063
215.0,-2668723.8094230443,-6846248.372288645,-4042951.8114658548,-1894935.168545554,-139.5861531608886,-357.1981046235542,-6119864.068230193,-7109610.7390588075,-3368230.9335820638,40188.376363031035,-62.32028415165608,78.3339186773716,-6119697.206779979,-7109239.522031928,-3368266.1279896144,39417.72752198168,-9.088562868764235,15.768028781095563,-3279330.5329891928,-6777771.725702598,-3771587.51941815,-1488585.4232322348,-6.403626174710477,21.51246739454194
220.0,-2659101.8533014455,-6847847.541171734,-4046943.1329678865,-1901548.6217341416,-133.76718222269457,-340.09080159356347,-6116294.084168926,-7105959.5076908525,-3366247.7781138686,38368.824181451775,-58.9292321084539,73.92290457241006,-6116171.707621479,-7105615.662268824,-3366293.4545713966,37644.5899714951,-8.541806252452158,14.84772506880119,-3231560.9523535506,-6783762.27609774,-3792466.726063229,-1520610.7023922682,-5.571356129225592,19.115441497157104
230.0,-2652627.21700864,-6848941.992868431,-4049616.604854874,-1905997.8736059754,-129.56374919414918,-328.65653497666165,-6113971.286214747,-7103648.831032388,-3364933.594500069,37107.937630789966,-56.624287057501434,70.92566796627489,-6113878.830747887,-7103323.870582084,-3364986.486068345,36415.272907033315,-8.173715086446936,14.227918831739471,-3199435.758841803,-6787806.237393402,-3806497.5661005,-1542140.7665975073,-4.8997864488909535,17.198414660638836
240.0,-2649486.9417003565,-6849474.961400372,-4050912.224112265,-1908156.770990887,-127.45841984048255,-323.02876232734536,-6112874.207165501,-7102547.5496152155,-3364316.7814608766,36497.41621487655,-55.49611212409841,69.46107305071318,-6112796.2847655965,-7102231.929734923,-3364373.265919984,35820.16566105818,-7.9946636309458805,13.925722392570373,-3183949.9317368125,-6789755.812889955,-3813261.1316565312,-1552519.4715397668,-4.58148750018904,16.294791631301443
250.0,-2647964.9552423004,-6849733.34379615,-4051540.1614251826,-1909203.3372435793,-126.42301779011552,-320.28447825467777,-6112346.369742411,-7102013.644128676,-3364020.2554403534,36203.04187431249,-54.94808241341458,68.7502585937537,-6112275.480337508,-7101702.575525563,-3364078.497456488,35533.263963991405,-7.907957215335728,13.779163020614568,-3176473.336283998,-6790696.76927336,-3816526.8084311783,-1557530.5041957507,-4.431491917233146,15.870173621078331
260.0,-2647180.086746033,-6849866.598796975,-4051863.9822581555,-1909743.0863762046,-125.88408665977786,-318.86689999719704,-6112075.0369071625,-7101738.1452574665,-3363867.8512192285,36051.658414941325,-54.665202881571325,68.38349137971156,-6112007.770364023,-7101429.426591326,-3363927.0010692202,35385.73167898479,-7.863273039883601,13.70357393889296,-3172624.874990566,-6791181.030333991,-3818207.8206031322,-1560109.8933758214,-4.355367366045383,15.654832917861995
266.5,-2646915.8763589803,-6849911.458520483,-4051972.9901529946,-1909924.7891449055,-125.70135661497261,-318.39015382079594,-6111983.827902754,-7101645.375824066,-3363816.6243894896,36000.76427538776,-54.569935056554996,68.25998321036829,-6111917.779606363,-7101337.447800194,-3363876.0791870872,35336.13293577845,-7.848235734675585,13.678126252072545,-3171330.430789119,-6791343.900641023,-3818773.24396638,-1560977.4861678898,-4.329930565142111,15.582903442426359
266.75,-2573077.9263768424,-6858407.58750277,-4084675.8144704797,-1959124.5971494077,-137.46348551747553,-353.80965739836404,-6118380.865141116,-7108395.624341776,-3367339.37146534,39104.6186081871,-60.590703249592586,75.90726258486247,-6118257.426074384,-7108039.797461469,-3367384.944345074,38363.29202649521,-8.744001671668672,15.233024000418482,-3153611.0134171057,-6793549.971005266,-3826537.951911325,-1572849.5261728114,-4.509339061360764,16.415463926674125
267.0,-2496217.510674701,-6867460.551864362,-4118606.4012209703,-2010424.0987422406,-146.2325024120854,-379.135885076881,-6124562.158019822,-7114445.336821586,-3370773.3281283234,41746.41144098213,-65.24670792418104,81.8660264019007,-6124397.032416778,-7114055.80504826,-3370810.946334817,40944.365565575245,-9.464702366835212,16.464986820414396,-3124869.5375947016,-6797134.147563244,-3839126.407271272,-1592111.7910775554,-5.049556676757058,18.11488793802734
267.25,-2417726.134164567,-6876796.581591339,-4153208.892210704,-2062850.0101665903,-153.86046164058507,-400.3615697389572,-6130385.290549619,-7119997.175112287,-3374038.850801588,44102.04641308823,-69.24142663321439,86.98868388303853,-6130187.054784895,-7119579.731083401,-3374071.170947285,43247.70869396202,-10.085899482299904,17.522356011486742,-3088871.429627883,-6801626.114808197,-3854889.740907954,-1616240.1021919688,-5.715583303462188,20.12710130137236
267.5,-2338090.615578254,-6886327.343163153,-4188284.5933017344,-2116064.6950007686,-160.7592553650428,-419.0139669349985,-6135892.919261791,-7125165.936230475,-3377148.3057694687,46251.40676253573,-72.7936718963611,91.54566910982138,-6135667.362538931,-7124724.315182321,-3377176.950826864,45350.59417977241,-10.638133584455183,18.460810341003125,-3047480.7536072223,-6806792.742495709,-3873012.0658017755,-1643984.5377086746,-6.413400518702751,22.21355106759498
280.0,-2310000.954583155,-6891059.052797944,-4199912.344578197,-2135396.4047856685,-143.0917074485771,-362.9550844137066,-6126746.901050728,-7115163.504488213,-3372225.050661519,41042.5129946378,-62.43767140743718,78.17279374997403,-6126655.621926235,-7114807.88824901,-3372287.5221033855,40279.98886000165,-9.003699376761112,15.677965136419306,-2912121.8599257222,-6823760.617230289,-3932188.2515408737,-1734734.0070127277,-5.260250631262582,18.60920826763391
300.0,-2305659.7811119817,-6891795.765078186,-4201703.546525743,-2138381.333225335,-140.17292306153664,-355.09859883592515,-6125237.255057412,-7113637.956331815,-3371376.2992695477,40202.74528712974,-60.87611750311821,76.14746915843631,-6125166.081421262,-7113295.318337715,-3371443.7972139376,39461.53375510792,-8.75651954253603,15.26029315211458,-2890781.5775685124,-6826446.39935584,-3941509.364872915,-1749036.7486086714,-4.833110911292255,17.395057636652723
310.0,-2305169.0407226365,-6891879.085930416,-4201906.017007107,-2138718.8260739753,-139.83598287977208,-354.20898461179513,-6125067.878908131,-7113465.645121557,-3371281.169574732,40108.22540835265,-60.69917142378765,75.91812123328434,-6124998.97167756,-7113124.479236394,-3371349.2377129546,39369.4223175313,-8.728592122585127,15.213033841581286,-2888377.470692459,-6826748.889513387,-3942559.498605909,-1750648.0836392806,-4.785962535780435,17.261592020691932
315.0,-2305044.349583142,-6891900.257657757,-4201957.462085013,-2138804.5807333775,-139.74980502278643,-353.98340997098126,-6125024.877355361,-7113421.85868101,-3371257.0197636522,40084.22542662476,-60.65419908170299,75.85982943861993,-6124956.545306033,-7113081.066441471,-3371325.232290813,39346.03382049373,-8.721497060090012,15.201024460324023,-2887766.8858201914,-6826825.711475397,-3942826.209312035,-1751057.3253411746,-4.774024676051969,17.22781964737609
316.5,-2305016.7501251525,-6891904.94393176,-4201968.8490504185,-2138823.5619910164,-139.73067571370208,-353.93354128396925,-6125015.361211511,-7113412.166635327,-3371251.6756056696,40078.9141660683,-60.64424398881687,75.84692548650192,-6124947.156402751,-7113071.457044257,-3371319.920030115,39340.85785661418,-8.719926663253487,15.198366155861025,-2887631.752578582,-6826842.713344559,-3942885.2372419364,-1751147.8978822213,-4.771384392476769,17.220352200954206
316.75,-2228007.313398496,-6900822.065554217,-4236046.803887289,-2190159.6350626936,-151.12879426488013,-387.79005534197097,-6131515.758463917,-7120156.706046857,-3374842.759827004,43142.09659037876,-66.47497084716903,83.26023265250377,-6131392.794243218,-7119770.316456729,-3374898.178150714,42329.42986521232,-9.59225136168503,16.708802142542467,-2866044.161191371,-6829532.18319705,-3952343.033244249,-1765613.3245921675,-5.054973117886067,18.31475333866774
317.0,-2147950.402254188,-6910291.152044744,-4271367.710869348,-2243609.180526296,-159.74868035567914,-412.22146011657185,-6137662.584291621,-7126126.86858281,-3378274.5102262944,45720.15211159008,-70.97237987706953,89.0132987863098,-6137500.684487728,-7125708.118520508,-3378322.7303250413,44848.8546126387,-10.285920467628337,17.894658689999265,-2832621.7129949685,-6833701.64207336,-3966979.717216496,-1788014.2191038507,-5.652935713248958,20.16470291998077
