Time,pt0_ux,pt0_uy,pt0_uz,pt1_ux,pt1_uy,pt1_uz,pt2_ux,pt2_uy,pt2_uz,pt3_ux,pt3_uy,pt3_uz,pt4_ux,pt4_uy,pt4_uz,pt5_ux,pt5_uy,pt5_uz,pt6_ux,pt6_uy,pt6_uz,pt7_ux,pt7_uy,pt7_uz,pt8_ux,pt8_uy,pt8_uz,pt9_ux,pt9_uy,pt9_uz,pt10_ux,pt10_uy,pt10_uz
157.0,3.2430483104201947e-07,-1.0256553802148337e-07,0.0,-5.6400634780327276e-05,2.660227817952796e-05,0.0,5.636226773140451e-05,-2.654877548715059e-05,0.0,1.0102638606212898e-06,9.825308085782942e-07,0.0,-5.857834430127424e-05,2.7277369707431993e-05,0.0,5.8378023774214316e-05,-2.7212863082434717e-05,0.0,-4.5392072383968965e-05,2.214898894813744e-05,0.0,4.6956938029073696e-05,-2.084618525852598e-05,0.0,-1.404892693643437e-08,1.0217172575722703e-08,7.700496062016278e-07,-4.592538697502718e-05,2.1425814506130954e-05,8.076213924778185e-07,4.5938545910469654e-05,-2.1424742961421365e-05,7.912935139636118e-07
157.25,3.4242925869099136e-07,-1.0816013460583216e-07,0.0,-5.7988496371596144e-05,2.7369428398648822e-05,0.0,5.794746770802447e-05,-2.7312691394823645e-05,0.0,1.0411875136197613e-06,1.0334186386638208e-06,0.0,-6.0318768291687744e-05,2.808743428943058e-05,0.0,6.010559048465659e-05,-2.8019523902826213e-05,0.0,-4.613996147701282e-05,2.252200544845698e-05,0.0,4.77301644125612e-05,-2.118141259015618e-05,0.0,-1.442883762816131e-08,9.899408631020252e-09,8.242192650802822e-07,-4.663327159730697e-05,2.175585010226165e-05,8.652920433680289e-07,4.664703558566558e-05,-2.1756049834538463e-05,8.476029420055242e-07
157.5,3.576738019504862e-07,-1.1270382268275196e-07,0.0,-5.96650360155757e-05,2.8173104697577566e-05,0.0,5.962186832260404e-05,-2.8113501403619043e-05,0.0,1.0728805029822998e-06,1.0872172008718515e-06,0.0,-6.21280641263332e-05,2.892984806924471e-05,0.0,6.19033830281905e-05,-2.8858711543948196e-05,0.0,-4.705265496836063e-05,2.2975997432047952e-05,0.0,4.867168072940101e-05,-2.1591021315081072e-05,0.0,-1.4470132529715898e-08,9.55879916635213e-09,8.818451880203616e-07,-4.751541906509e-05,2.2167262384155276e-05,9.262389307691551e-07,4.7529700706848344e-05,-2.2168419527492165e-05,9.074648392660789e-07
160.0,3.1860329249622847e-07,-9.942397100278767e-08,0.0,-6.109605746912215e-05,2.8761581197736627e-05,0.0,6.105995088023776e-05,-2.870785342496554e-05,0.0,1.1133563534723991e-06,1.1084830288681481e-06,0.0,-6.324336841198262e-05,2.945041339215081e-05,0.0,6.304057463902288e-05,-2.938274696422654e-05,0.0,-4.975851083655613e-05,2.4315181092992114e-05,0.0,5.1504167509810405e-05,-2.2828134215938608e-05,0.0,-1.1318572417913388e-08,9.729852640154746e-09,8.70467406147286e-07,-5.041003834853344e-05,2.3517721688954787e-05,9.106338419716325e-07,5.042316804141391e-05,-2.351504322507519e-05,8.949517940123655e-07
170.0,3.0111976248835194e-07,-1.0001441110676138e-07,0.0,-6.19725927490734e-05,2.908762634001141e-05,0.0,6.193470279468254e-05,-2.9046602542135384e-05,0.0,1.3184789184763717e-06,1.1366055377193107e-06,0.0,-6.391481374258277e-05,2.9743496981201814e-05,0.0,6.372133275549614e-05,-2.968686562252918e-05,0.0,-5.137550092759675e-05,2.5230878285744843e-05,0.0,5.357590058622087e-05,-2.3594608469655437e-05,0.0,-1.1946404916676438e-08,5.0919119743546575e-09,7.134565055029067e-07,-5.233967399295042e-05,2.4409613017514374e-05,7.488631850748046e-07,5.2347633352472944e-05,-2.4414397617761484e-05,7.345698995762997e-07
180.0,2.946544932053475e-07,-1.0595862607234898e-07,0.0,-6.236641335923494e-05,2.9209096649419717e-05,0.0,6.232383957606699e-05,-2.9181956865411674e-05,0.0,1.5206345844945959e-06,1.1778415548406048e-06,0.0,-6.420200037468872e-05,2.9855818385367098e-05,0.0,6.400885545591494e-05,-2.9811572047831535e-05,0.0,-5.19505551867728e-05,2.5639956777036236e-05,0.0,5.456743610882266e-05,-2.3881439252279115e-05,0.0,-1.0024117986454347e-08,-3.1247869362606373e-09,6.33039444280551e-07,-5.317874667936324e-05,2.4791048393200932e-05,6.662862043016986e-07,5.3180251923569776e-05,-2.4807466189459908e-05,6.526709525748214e-07
190.0,2.9004821106100273e-07,-1.1073853648855674e-07,0.0,-6.268915560794292e-05,2.931101722594326e-05,0.0,6.264335178631738e-05,-2.9294726273673303e-05,0.0,1.687502331624072e-06,1.1998958559565332e-06,0.0,-6.44368711814054e-05,2.9948372211247608e-05,0.0,6.424459591199228e-05,-2.9913738129027697e-05,0.0,-5.2413325287867485e-05,2.5959452916054016e-05,0.0,5.536996069178664e-05,-2.4124893128967354e-05,0.0,-7.574396756717375e-09,-9.916347049088387e-09,6.03120423116788e-07,-5.386580392552522e-05,2.5103931504256037e-05,6.346228335875968e-07,5.386253864218784e-05,-2.5129424228750222e-05,6.215428300663744e-07
200.0,2.856829339882501e-07,-1.144177092954068e-07,0.0,-6.29689910600307e-05,2.940240959464584e-05,0.0,6.292065830651817e-05,-2.9395077812417255e-05,0.0,1.8194620731408386e-06,1.2135541153762825e-06,0.0,-6.464225423075144e-05,3.0030707887689583e-05,0.0,6.44510107013613e-05,-3.000405793027255e-05,0.0,-5.28246921711306e-05,2.6230464800745467e-05,0.0,5.6049507270601025e-05,-2.4341582474356406e-05,0.0,-5.748986182011347e-09,-1.5391350828142876e-08,5.933331335055696e-07,-5.445653688944218e-05,2.5373347403567555e-05,6.233887405570423e-07,5.444940832891521e-05,-2.5406287095834343e-05,6.1075216356451e-07
210.0,2.816521522489653e-07,-1.1616062842537548e-07,0.0,-6.31959127384159e-05,2.948337347616022e-05,0.0,6.314622121777918e-05,-2.9481609118023633e-05,0.0,1.8931617220840233e-06,1.2176932792398785e-06,0.0,-6.481332550127364e-05,3.010299947090348e-05,0.0,6.462353679841614e-05,-3.008132801447284e-05,0.0,-5.319851207827133e-05,2.644924102015641e-05,0.0,5.657192443606009e-05,-2.4529027308392752e-05,0.0,-4.826648457518146e-09,-1.852779161360545e-08,5.721653601457805e-07,-5.493959619246471e-05,2.559509431965297e-05,6.010796916070532e-07,5.493010688699031e-05,-2.563234755035942e-05,5.887986877487044e-07
212.5,2.808707767853432e-07,-1.1637661002302427e-07,0.0,-6.324244659615048e-05,2.950068347842373e-05,0.0,6.319259100432947e-05,-2.949978911487549e-05,0.0,1.9052795758170362e-06,1.2179124153086567e-06,0.0,-6.484882196019382e-05,3.011840677032761e-05,0.0,6.465943904300682e-05,-3.009750314312836e-05,0.0,-5.327891170612944e-05,2.649407221754252e-05,0.0,5.6676377084712594e-05,-2.4568498935035623e-05,0.0,-4.577618009423276e-09,-1.9030923565409963e-08,5.668129422769442e-07,-5.503891340269881e-05,2.564088842869851e-05,5.954973489196863e-07,5.502906407011076e-05,-2.5678748203370456e-05,5.832888470805848e-07
